customer_id,country,total_revenue,total_invoices,recency_days,rfm_segment,health_tier,customer_health_score,churn_probability,churn_risk_tier,action_priority,customer_value_tier,retention_target_flag,vip_flag
14088,United Kingdom,64036.8,16,10,Champions,Excellent,93.92,0.1754,Low Risk,Priority 4,Top 10% Value,0,1
16422,United Kingdom,61920.87,109,17,Champions,Excellent,99.7,0.0064,Low Risk,Priority 4,Top 10% Value,0,1
17389,United Kingdom,57215.33,61,1,Champions,Excellent,98.71,0.0356,Low Risk,Priority 4,Top 10% Value,0,1
13081,United Kingdom,56838.37,28,12,Champions,Excellent,98.65,0.0171,Low Risk,Priority 4,Top 10% Value,0,1
16013,United Kingdom,56078.44,84,4,Champions,Excellent,96.9,0.0984,Low Risk,Priority 4,Top 10% Value,0,1
14680,United Kingdom,55688.5,58,25,Champions,Excellent,96.77,0.011,Low Risk,Priority 4,Top 10% Value,0,1
13093,United Kingdom,54144.25,55,276,Cannot Lose,Excellent,90.83,0.0341,Low Risk,Priority 2,Top 10% Value,1,0
12748,United Kingdom,53539.64,336,1,Champions,Excellent,99.86,0.0012,Low Risk,Priority 4,Top 10% Value,0,1
17850,United Kingdom,51208.87,155,372,Cannot Lose,Healthy,64.53,0.912,Critical Risk,Priority 1,Top 10% Value,1,0
13408,United Kingdom,50174.78,106,2,Champions,Excellent,99.18,0.0229,Low Risk,Priority 4,Top 10% Value,0,1
13777,United Kingdom,49638.26,61,1,Champions,Excellent,98.35,0.0468,Low Risk,Priority 4,Top 10% Value,0,1
17404,Sweden,47781.12,23,4,Champions,Excellent,92.64,0.1657,Low Risk,Priority 4,Top 10% Value,0,1
13881,United Kingdom,45179.1,43,4,Champions,Excellent,97.87,0.0604,Low Risk,Priority 4,Top 10% Value,0,1
15749,United Kingdom,44534.3,3,235,Big Spenders,Watchlist,54.26,0.9981,Critical Risk,Priority 1,Top 10% Value,1,1
16705,United Kingdom,43515.05,42,1,Champions,Excellent,96.69,0.0908,Low Risk,Priority 4,Top 10% Value,0,1
12471,Germany,39918.19,79,2,Champions,Excellent,98.19,0.0542,Low Risk,Priority 4,Top 10% Value,0,1
15098,United Kingdom,39916.5,3,182,Big Spenders,Watchlist,59.12,1.0,Critical Risk,Priority 1,Top 10% Value,1,1
15039,United Kingdom,39141.48,93,10,Champions,Excellent,99.76,0.0019,Low Risk,Priority 4,Top 10% Value,0,1
14031,United Kingdom,39019.51,44,7,Champions,Excellent,98.65,0.0255,Low Risk,Priority 4,Top 10% Value,0,1
17675,United Kingdom,37642.48,70,1,Champions,Excellent,99.3,0.015,Low Risk,Priority 4,Top 10% Value,0,1
17381,United Kingdom,36398.65,38,9,Champions,Excellent,97.53,0.0712,Low Risk,Priority 4,Top 10% Value,0,1
12921,United Kingdom,35233.24,74,9,Champions,Excellent,99.05,0.0246,Low Risk,Priority 4,Top 10% Value,0,1
17677,United Kingdom,35058.46,54,2,Champions,Excellent,98.04,0.0545,Low Risk,Priority 4,Top 10% Value,0,1
12678,France,34281.18,21,42,Champions,Excellent,92.82,0.0682,Low Risk,Priority 4,Top 10% Value,0,1
13902,Denmark,34095.26,5,632,Cannot Lose,Healthy,78.87,0.2381,Low Risk,Priority 2,Top 10% Value,1,0
13767,United Kingdom,33903.57,73,2,Champions,Excellent,99.1,0.0211,Low Risk,Priority 4,Top 10% Value,0,1
